"conesus","chitt","ganarg","chenan","cowas","flint","butter","oatka","honoeye","nineLK","nineMAR","harbor","sauq","oneida","otselic","salmon","orisk","scriba","sixmile","skaneat"
1.69491525423729,4.19161676646707,17.5182481751825,0,15.2542372881356,10.0917431192661,73.5042735042735,19.1358024691358,2.9585798816568,0,0,99.4791666666667,38,2.94117647058824,3.6231884057971,3.17460317460317,27.1186440677966,8.33333333333333,0,7.6271186440678
0.888888888888889,10.5633802816901,19.8198198198198,2.57142857142857,13.0952380952381,23.2558139534884,71.264367816092,10.9965635738832,4.08921933085502,0,0,99.6884735202492,34.1317365269461,2.81124497991968,8.26086956521739,3.01204819277108,26.8774703557312,5.88235294117647,7.2289156626506,6.66666666666667
0.549450549450549,9.74477958236659,22.0588235294118,3.27552986512524,10.8333333333333,39.917695473251,69.2307692307692,12.4721603563474,6.63265306122449,1.08695652173913,2.1505376344086,99.7844827586207,42.6229508196721,2.91005291005291,6.53409090909091,3.34448160535117,24.198250728863,2.8169014084507,6.14525139664804,6.22568093385214
0.37037037037037,7.82029950083195,24.2677824267782,3.8781163434903,10.5263157894737,47.3684210526316,66.2337662337662,13.0573248407643,10,7.2463768115942,6.6543438077634,99.8363338788871,46.3855421686747,2.86259541984733,4.46601941747573,3.26086956521739,21.0643015521064,4.23728813559322,4.51612903225806,5.57029177718833
0.268817204301075,6.98254364089776,22.7963525835866,5.26315789473684,11.3793103448276,50,67.2774869109948,12.3456790123457,12.4786324786325,8.46774193548387,8.47913862718708,99.8661311914324,48.0637813211845,2.92887029288703,3.25318246110325,4.6875,18.6291739894552,12.2905027932961,3.63247863247863,5.24271844660194
2.65035677879715,6.04878048780488,22.0299884659746,5.76441102756892,10.4265402843602,48.6486486486487,69.0987124463519,11.0547667342799,12.9323308270677,10.3483606557377,7.09939148073022,99.8880179171333,47.8723404255319,2.21987315010571,2.50272034820457,6.42092746730083,16.8316831683168,11.2449799196787,3.48484848484849,5.15759312320917
5.04,5.30421216848674,20.2118270079435,6.95945945945946,10.9375,48.48,69.8884758364312,9.70212765957447,13.1853785900783,11.7046347211312,5.57768924302789,99.9049429657795,48.0446927374302,1.75438596491228,1.97764402407567,7.20973782771536,14.7754137115839,10,3.06469920544835,5.98930481283422
5.04527813712807,4.76190476190476,18.6903137789905,7.8177727784027,9.55585464333782,45.467032967033,72.0516962843296,9.04449307075128,14.0229885057471,12.0496894409938,4.51321727917473,99.9186330349878,47.7348066298343,1.41318977119785,1.61516853932584,7.08841463414634,13.1736526946108,8.18181818181818,2.76538804638715,7.8318219291014
5.74468085106383,4.34322033898305,19.9455040871935,7.52022846263684,9.94652406417112,42.9245283018868,73.8095238095238,8.07570977917981,15.1390319258496,11.7857142857143,3.72736954206603,99.929873772791,49.3693693693694,2.61256253474152,1.35693215339233,6.19469026548673,11.892797319933,7.05009276437848,2.43030736240172,6.72323759791123
7.46003552397868,3.99103139013453,20.3687050359712,7.04397394136808,10.0174216027875,39.1794871794872,75.9168704156479,7.31975784259769,15.2908067542214,11.7089969866552,3.28888888888889,99.9387254901961,49.6613995485327,3.55971896955504,2.12335692618807,5.49973558963511,10.530035335689,6.72,2.65800354400473,6.29296668429402
9.39268200678989,3.70227535672966,20.2264150943396,6.66432830585759,9.73323720259553,37.027027027027,76.2820512820513,7.74509803921569,17.4589455488332,12.029520295203,3.27560240963855,99.9452654625068,50.1585288522511,6.07142857142857,2.80948200175593,4.93938033228559,9.20897284533648,6.06896551724138,2.64735264735265,6.40459363957597
9.31596091205212,3.4598589183742,20.2491216863622,6.24619134673979,9.04159132007233,34.7585114806017,77.1507863089732,7.77385159010601,17.4053182917002,12.0102761721259,3.26016785022595,99.8022738507168,50.8410200759631,8.46994535519126,3.76845376845377,4.48447681103871,8.03173029251363,5.8472553699284,2.70967741935484,6.72426746806912
9.27453769559033,3.28596802841918,20.5995599559956,5.90885002649709,8.66222450025628,32.7044025157233,76.4845605700713,7.7323717948718,17.4603174603175,11.8045749788195,3.177727784027,99.3227990970655,51.8431001890359,9.24940898345154,4.16811392844738,4.11048997040447,7.12770470937633,5.51508844953174,2.73510678156613,7.68983268983269
9.09547738693467,3.85422128998427,20.9055876685934,6.74575482670388,9.66887417218543,30.9045226130653,76.462676529926,7.93534166054372,16.7609618104668,12.4560522350578,3.20337720387385,98.8735919899875,55.1738410596026,9.12586516277877,4.30276381909548,3.77466399771233,6.6030814380044,5.30649588289113,3.04132231404959,7.72892747129656
9.25011225864391,4.46261682242991,20.9646302250804,7.37232289950577,9.35941695435366,28.8876276958002,76.5536723163842,7.9700272479564,15.7370517928287,12.7203749163133,3.7176366452755,98.1683554169914,58.937022206043,9.10319963947724,4.40541318744601,3.62264150943396,8.02292263610315,5.14883346741754,3.18114874815906,7.69230769230769
9.03225806451613,4.90566037735849,20.7561581057858,7.638761677963,8.85015085484412,27.4143302180685,77.9865125240848,7.88633461047254,14.8775894538606,13.0837359098229,3.81161444821393,97.3788150807899,60.9591245574509,8.8950937375349,4.45741576014858,4.22691879866518,8.25892857142857,4.94350282485876,3.12582781456954,7.54675467546755
8.72166817769719,4.89233094068757,19.3249957169779,8.10987573577502,8.46376811594203,25.8186995728524,79.7594359187059,7.65724703737466,14.1239570917759,13.1660867972899,3.93401015228426,96.7294350842418,62.7827082736902,8.67717372055959,4.49521002210759,4.64235903566447,8.25688073394496,5.40372670807453,3.05435305435305,7.25646123260437
