"conesus","chitt","ganarg","chenan","cowas","flint","butter","oatka","honoeye","nineLK","nineMAR","harbor","sauq","oneida","otselic","salmon","orisk","scriba","sixmile","skaneat"
10.1694915254237,64.6706586826347,18.978102189781,0,13.5593220338983,25.6880733944954,0,30.2469135802469,17.7514792899408,86.7768595041322,55.8823529411765,0,0,24.2647058823529,0,96.8253968253968,0,0,0,82.2033898305085
27.1111111111111,47.5352112676056,17.1171171171171,10.8571428571429,16.6666666666667,18.0232558139535,0,50.1718213058419,20.817843866171,67.741935483871,67.2340425531915,0,0,14.0562248995984,0,96.9879518072289,0,0,0,76.1111111111111
40.9340659340659,44.3155452436195,17.0588235294118,14.2581888246628,17.5,13.9917695473251,0,55.011135857461,19.1326530612245,59.7826086956522,72.5806451612903,0,0,21.1640211640212,0,96.6555183946488,0,0,0,75.875486381323
48.3333333333333,42.0965058236273,15.6903765690377,19.9445983379501,17.3684210526316,13.0030959752322,0,53.8216560509554,15.6,55.6159420289855,68.9463955637708,0,0,23.8549618320611,1.94174757281553,96.7391304347826,2.88248337028825,0,0,67.1087533156499
52.2849462365591,39.2768079800499,17.3252279635258,21.3684210526316,13.448275862069,13.1707317073171,0,52.3456790123457,15.042735042735,48.3870967741936,67.8331090174966,0,0,19.3863319386332,2.12164073550212,95.3125,6.32688927943761,0,0,60
49.4393476044852,37.2682926829268,15.6862745098039,23.9766081871345,11.3744075829384,14.4787644787645,0,52.3326572008114,15.0375939849624,40.8811475409836,67.4442190669371,0,0,16.1733615221987,7.3993471164309,93.3412604042806,9.33521923620934,0,0,55.3008595988539
43.68,35.6474258970359,14.1218005295675,24.2567567567568,9.89583333333333,15.52,0,53.7021276595745,15.4046997389034,34.1712490180676,66.7729083665339,0,0,13.5338345864662,11.865864144454,91.4794007490637,11.1111111111111,0,0,49.9465240641711
40.1681759379043,32.2539682539683,15.0068212824011,23.5095613048369,8.20995962314939,17.7197802197802,0,53.6834427425237,15.1724137931034,29.3167701863354,65.8284977433914,0,0,10.9017496635262,9.97191011235955,90.3963414634146,11.7764471057884,0,0,41.5498763396537
36.1170212765957,29.8199152542373,16.7847411444142,23.4650166587339,7.48663101604278,18.5141509433962,0,54.9526813880126,15.1390319258496,26.6836734693878,67.3588924387646,0,0,9.00500277932185,8.37758112094395,89.7597977243995,11.892797319933,0,0,39.9477806788512
35.6127886323268,26.3677130044843,18.4802158273381,23.9413680781759,6.3588850174216,21.8461538461538,0,53.1645569620253,14.3527204502814,24.6233318984072,63.6444444444444,0,0.0752445447705041,7.58782201405152,7.17896865520728,84.981491274458,12.2968197879859,0,0,39.3971443680592
37.4952847981894,23.1392209795604,19.4339622641509,25.1139950894423,5.55155010814708,22.972972972973,0,51.9607843137255,13.3102852203976,22.9520295202952,58.4713855421687,0,0.0634115409004439,7.02380952380952,6.23353819139596,78.4463403682084,10.9208972845336,0,0,39.2226148409894
41.0097719869707,20.72556264696,20.2810603641009,26.2644728823888,4.70162748643761,25.9699129057799,0,52.4293286219081,12.4093473005641,22.8002569043031,56.1007101355713,0,0.0542593597395551,8.43579234972677,5.51670551670552,75.1628976619394,10.0644521566683,0,0,38.6175807663411
43.1863442389758,18.5612788632327,19.3344334433443,27.3184949655538,3.99794976934905,28.9308176100629,0,52.5240384615385,11.6402116402116,22.2818412877718,54.7244094488189,0,0.0472589792060491,8.24468085106383,4.93226814866273,74.6793817823085,9.54603309291472,0,0,37.3873873873874
45.0502512562814,16.5705296276875,16.9797687861272,27.727378460107,3.44370860927152,32.5376884422111,0,52.0205731080088,11.3154172560113,22.3003515821195,54.954060094363,0,0.0413907284768212,8.74134837221225,4.45979899497487,76.3225621961681,8.47395451210565,0,0,35.6482777933352
46.4301751234845,15.0233644859813,15.1339764201501,27.8212520593081,2.99194476409666,35.6413166855846,0.0564971751412429,51.7029972752044,10.8233731739708,22.7404597188128,57.2471785793317,0,0.0364033491081179,8.99053627760252,4.08868413475381,76.6037735849057,7.35434574976122,0,0,33.5059171597633
47.6008064516129,13.8574423480084,15.3332060339889,27.7706539659278,2.61481729802213,38.1619937694704,0.0481695568400771,51.1813537675607,11.2366603892028,23.0877616747182,59.1099580921972,0,0.0321853878339234,8.99481451934583,3.76757760679225,76.329254727475,6.4453125,0,0.0529801324503311,32.4532453245325
49.1387126019946,12.5236116358141,16.4639369539147,27.5016350555919,2.26086956521739,40.484100616991,0.0414765657403567,50.9267699787299,12.9320619785459,24.1164621864127,60.605511240029,0,0.0286286859433152,8.90738445192137,3.48808646524196,76.0709304642359,5.72774609471857,0,0.336700336700337,33.2604373757455
49.3366093366093,11.662955985614,18.6050132336914,26.7872775021885,1.97668525088697,41.5086206896552,0.036036036036036,50.174520069808,14.6576117713639,24.1615217754046,60.5057394776244,0,0.0255754475703325,8.74403815580286,3.23683610667882,76.1218237520274,5.12422360248447,0,0.765361906844522,33.6102582625971
48.4036144578313,10.9142229888662,19.7195191757298,26.2696335078534,1.75280898876405,43.284757778653,0.0313381385145722,50.15333147477,15.3721682847896,23.4270006108735,59.4557195571956,0,0.0230096640589047,8.52746620649986,3.02966101694915,77.0186335403727,4.62369895916733,0,0.96,35.207100591716
46.4705882352941,10.3189493433396,20.5582749040878,26.6318537859008,1.56657963446475,45.3653217011996,0.0276778300581234,50.1878690284487,16.6666666666667,22.9487538504621,58.4026383710926,0,0.0208029956313709,8.39744425609597,3.01894238358327,78.0269058295964,4.2015278283012,0,1.04529616724739,36.3184828416616
