"Site","Date","Acetaminophen","Amantadine","AzelaicAcid","Bamethan","Bupropion","Caffeine","Carbamazepine","Cetirizine","Citalopram","Desipramine","DesvenlafaxineODesmethylVenlafaxine","Dexpanthenol","Diltiazem","Diphenhydramine","Dopamine","Fexofenadine","Flecainide","Fluconazole","Gabapentin","Gemfibrozil","Irbesartan","Lamotrigine","Levetiracetam","Lidocaine","Losartan","Metformin","Methocarbamol","Metoprolol","Nadolol","Naproxen","Oxcarbazepine","Propranolol","Protriptyline","Sertraline","Sulfamethoxazole","Sulfapyridine","Trimethoprim","Venlafaxine","1011Dihydro10hydroxyCarbamazepine","2Ethyl2phenylmalonamide","Benzoylecgonine","HydroxyBupropion","N4Acetylsulfamethoxazole","RitalinicAcid","4Chloro2methylphenoxyaceticAcidMCPA","24DichlorophenoxyaceticAcid24D","AbscisicAcid","Ametryn","Atrazine","Carbaryl","Carbendazim","Clothianidin","Diuron","EthylButylacetylaminopropionate","Imazapyr","Imidacloprid","Mecoprop","Metalaxyl","Metolachlor","Monuron","Prometon","Propazine","Simazine","Thiamethoxam","Atrazine2hydroxy","Atrazinedesethyl","Atrazinedesisopropyl","MetolachlorEthaneSulfonicAcidMetolachlorESA","MetolachlorOxanilicAcidMetolachlorOA","2Hydroxybenzothiazole","5Methyl1Hbenzotriazole","1HBenzotriazole","Benzophenone","Benzophenone3Oxybenzone","Benzothiazole","NNDiethyl3methylbenzamideDEET","Sucralose","Triclosan","Galaxolidone"
"Scriba Creek","7/3/19",NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,273.5,26.5,NA,14,NA,NA,6
"Sixmile Creek","9/1/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,8.5,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,4,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,45.5,15,NA,NA,NA,NA,NA,NA,NA,84.5,NA,25.5,50.5,NA,79
"Sixmile Creek","9/21/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,13,NA,NA,NA,NA,NA,NA,NA,152.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,47,15,NA,NA,NA,NA,NA,NA,537,24.5,138.5,NA,NA,NA,10
"Sixmile Creek","5/6/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,34,15,NA,25,NA,NA,43,NA,NA,NA,151.5,NA,63,NA,218.5
"Sixmile Creek","5/27/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA,24,NA,NA,46,18,26,NA,NA,NA,NA,NA,62.5,NA,211,NA,101.5,NA,42
"Sixmile Creek","6/14/19",NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,38,16,NA,NA,NA,NA,NA,NA,68.5,NA,314,13,NA,NA,127
"Sixmile Creek","7/8/19",NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,NA,8.5,NA,67,NA,11.5,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,35,16.5,NA,NA,NA,NA,NA,NA,NA,28.5,353.5,52.5,70.5,NA,30
"Skaneateles Creek","9/1/18",NA,17.5,NA,NA,15.5,37,NA,28,13,NA,11,NA,NA,11.5,NA,17,11.5,NA,40.5,NA,59.5,87,NA,14.5,17,69,NA,8,NA,NA,NA,NA,NA,NA,39.5,NA,3,19.5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,91.5,37,27,NA,NA,NA,49,276,NA,NA,NA,NA,307,NA,320.5
"Skaneateles Creek","9/21/18",NA,17,NA,NA,13,23.5,3,37,8.5,NA,4,NA,NA,NA,NA,45,NA,NA,27.5,NA,27,94.5,27.5,12,19,1274,NA,8.5,NA,51,NA,NA,NA,NA,37,NA,5.5,16,7,NA,23.5,NA,NA,NA,NA,NA,NA,NA,38.5,NA,NA,NA,5.5,NA,NA,NA,NA,NA,15,NA,14,NA,NA,NA,67.5,29.5,26.5,152,15.5,NA,56,218.5,89.5,22,112,NA,526,NA,6.5
"Skaneateles Creek","5/6/19",NA,16.5,NA,NA,NA,121.5,NA,26.5,NA,NA,NA,17.5,NA,NA,NA,47.5,NA,NA,99,NA,55,37,NA,11,20,103,NA,6,NA,NA,NA,NA,NA,NA,34,NA,4.5,13,8,NA,25.5,NA,NA,NA,NA,3.5,68.5,NA,138.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,NA,14,22.5,NA,NA,149,34.5,28,424.5,28,NA,51,1332.5,156.5,NA,198.5,18.5,403.5,NA,179
"Skaneateles Creek","5/27/19",NA,NA,NA,NA,NA,25,NA,19,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,26,NA,31,17,NA,7,NA,119.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,17,NA,21,NA,14,NA,NA,NA,95,36.5,29,NA,16.5,NA,NA,79,55.5,NA,212,NA,86.5,NA,77
"Skaneateles Creek","6/11/19",NA,16,NA,NA,NA,69,NA,30.5,NA,NA,NA,12.5,NA,NA,NA,77.5,NA,NA,61.5,NA,49.5,46.5,NA,8.5,18,72,NA,5.5,2580,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,25,NA,NA,NA,NA,16,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,19.5,12.5,32.5,NA,NA,NA,NA,NA,137,34.5,29,378,76,NA,67,343,186,NA,300,45,544.5,NA,113
"Skaneateles Creek","6/14/19",NA,17,NA,NA,NA,200,NA,36,NA,NA,NA,13,NA,NA,NA,95,NA,NA,47.5,NA,86,57,NA,9,20.5,87,NA,NA,37,NA,NA,NA,8.5,NA,NA,NA,NA,NA,8.5,NA,25,NA,NA,NA,NA,130.5,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,31,NA,36,NA,NA,NA,NA,NA,94,26.5,NA,386.5,33.5,NA,50.5,340,23.5,NA,305,81,534,NA,203.5
"Skaneateles Creek","6/18/19",NA,17,NA,NA,NA,155.5,NA,36.5,NA,NA,NA,9,NA,NA,NA,80,NA,NA,45.5,NA,65.5,52,NA,10,20.5,96,NA,6,41,NA,NA,NA,5.5,NA,36.5,NA,3.5,NA,7.5,NA,25,NA,NA,NA,NA,NA,NA,NA,64.5,NA,NA,NA,NA,NA,NA,NA,16,NA,25,NA,NA,NA,NA,NA,111,28.5,NA,265.5,25,NA,48,289.5,71,NA,211.5,44.5,491,NA,169
"Skaneateles Creek","6/21/19",NA,NA,NA,NA,NA,160,NA,20,NA,NA,NA,931,NA,NA,NA,19.5,NA,NA,NA,NA,29,26,NA,7,NA,NA,NA,NA,33,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885.5,NA,NA,26.5,NA,NA,NA,97.5,NA,10,77.5,NA,NA,51,NA,46,122.5,56.5,34,435.5,66,NA,52,109,25.5,NA,203,38,NA,NA,132.5
"Skaneateles Creek","7/3/19",NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,24,18.5,NA,7,NA,NA,NA,23,NA,NA,NA,NA,48.5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,NA,NA,NA,NA,NA,83,38,29,NA,26.5,NA,NA,NA,235.5,NA,128.5,23,69.5,NA,3
