"Site","Date","Acetaminophen","Amantadine","AzelaicAcid","Bamethan","Bupropion","Caffeine","Carbamazepine","Cetirizine","Citalopram","Desipramine","DesvenlafaxineODesmethylVenlafaxine","Dexpanthenol","Diltiazem","Diphenhydramine","Dopamine","Fexofenadine","Flecainide","Fluconazole","Gabapentin","Gemfibrozil","Irbesartan","Lamotrigine","Levetiracetam","Lidocaine","Losartan","Metformin","Methocarbamol","Metoprolol","Nadolol","Naproxen","Oxcarbazepine","Propranolol","Protriptyline","Sertraline","Sulfamethoxazole","Sulfapyridine","Trimethoprim","Venlafaxine","1011Dihydro10hydroxyCarbamazepine","2Ethyl2phenylmalonamide","Benzoylecgonine","HydroxyBupropion","N4Acetylsulfamethoxazole","RitalinicAcid","4Chloro2methylphenoxyaceticAcidMCPA","24DichlorophenoxyaceticAcid24D","AbscisicAcid","Ametryn","Atrazine","Carbaryl","Carbendazim","Clothianidin","Diuron","EthylButylacetylaminopropionate","Imazapyr","Imidacloprid","Mecoprop","Metalaxyl","Metolachlor","Monuron","Prometon","Propazine","Simazine","Thiamethoxam","Atrazine2hydroxy","Atrazinedesethyl","Atrazinedesisopropyl","MetolachlorEthaneSulfonicAcidMetolachlorESA","MetolachlorOxanilicAcidMetolachlorOA","2Hydroxybenzothiazole","5Methyl1Hbenzotriazole","1HBenzotriazole","Benzophenone","Benzophenone3Oxybenzone","Benzothiazole","NNDiethyl3methylbenzamideDEET","Sucralose","Triclosan","Galaxolidone"
"Ninemile Marietta","6/18/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,56.5,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025,69.5,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,5,34,NA,NA,NA,NA,NA,127.5,24,NA,775,51,NA,NA,NA,82.5,NA,346.5,NA,NA,NA,68.5
"Ninemile Marietta","6/21/19",NA,NA,NA,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,46.5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,76,NA,106.5,NA,NA,NA,NA,NA,NA,22,NA,17.5,197,NA,NA,NA,NA,13.5,112,28.5,NA,1373,93,NA,NA,NA,30,NA,226,11.5,NA,NA,83
"Ninemile Marietta","7/3/19",NA,NA,NA,149,NA,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,38.5,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.5,80,22,149.5,NA,NA,NA,NA,NA,NA,NA,NA,8,90,NA,NA,17,NA,NA,153,34,NA,753,60.5,NA,NA,NA,156,NA,110,24.5,NA,NA,2.5
"Oakta Creek","5/8/19",NA,NA,NA,NA,14,NA,2,20.5,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,41.5,NA,34.5,22.5,NA,11,NA,92,NA,7,NA,NA,NA,NA,NA,NA,30,NA,4,14,3,NA,NA,NA,NA,NA,NA,3.5,64.5,NA,31.5,NA,NA,NA,NA,NA,NA,NA,NA,13,45.5,NA,15,NA,NA,NA,211,22.5,NA,3108,77.5,NA,43,NA,90,NA,245.5,NA,315,NA,141.5
"Oakta Creek","5/29/19",NA,NA,NA,NA,13,NA,3,21.5,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,31.5,NA,11,15,325.5,NA,5,NA,NA,NA,NA,NA,NA,30.5,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,6,40,NA,16,NA,NA,NA,185.5,23.5,NA,1298.5,54,NA,48,NA,70,NA,199.5,63,464,NA,105
"Oatka Creek","8/1/18",NA,16.5,NA,NA,14.5,NA,4,68,23,NA,24,NA,12,14.5,NA,87.5,14,NA,NA,NA,NA,48.5,NA,13,NA,378.5,NA,12.5,NA,NA,NA,NA,NA,31,31,NA,13.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,12.5,NA,NA,NA,15,NA,NA,51.5,57.5,NA,16,NA,19,NA,273,39.5,26.5,3299,208.5,NA,59.5,NA,30,NA,452,NA,427.5,NA,139
"Oatka Creek","8/22/18",NA,NA,NA,NA,NA,NA,3.5,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,32.5,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,11,19.5,NA,NA,16.5,16,NA,96,102,NA,16,NA,NA,NA,214.5,49,26.5,1443.5,361.5,NA,46,NA,95.5,NA,277.5,NA,368.5,NA,14.5
"Oneida Creek","9/1/18",NA,16,NA,NA,14,19,5,36.5,NA,NA,11,NA,10,NA,NA,13.5,NA,NA,NA,NA,61,41.5,25,15.5,NA,87,NA,5.5,NA,NA,NA,NA,NA,NA,47.5,NA,5,20.5,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,11.5,22,NA,NA,NA,NA,NA,176,32,NA,NA,71.5,NA,48,78.5,8.5,NA,229,NA,454,NA,144.5
"Oneida Creek","9/21/18",NA,16.5,NA,NA,14,NA,10,32,NA,NA,5,NA,NA,NA,NA,27,NA,NA,NA,NA,28.5,47.5,NA,12,NA,327.5,NA,6.5,NA,99,NA,NA,NA,NA,51,NA,NA,17.5,NA,7.5,25.5,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,8,14.5,NA,NA,NA,NA,NA,178.5,31.5,25,26.5,60,NA,46.5,70.5,216.5,23,179.5,NA,627.5,NA,45.5
"Oneida Creek","5/6/19",NA,14.5,NA,NA,14,NA,2.5,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,23.5,NA,20.5,NA,69.5,NA,9,35,NA,NA,NA,NA,NA,32,NA,9,14.5,NA,NA,24.5,NA,NA,NA,NA,10,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,16,1,17,NA,NA,NA,NA,NA,149.5,25.5,NA,588,37.5,NA,48.5,NA,81,NA,213.5,14,192.5,NA,200
